name,url,location,non-meetup.com?
Rust London User Group,https://www.meetup.com/rust-london-user-group/,"London, 17, United Kingdom",no.  
Rust NYC,https://www.meetup.com/rust-nyc/,"New York, NY, USA",no.  
Rust Bay Area,https://www.meetup.com/Rust-Bay-Area/,"San Francisco, CA, USA",no.  
Rust India,https://www.meetup.com/rustox/,"Bangalore, India",no.  
Rust Berlin,https://www.meetup.com/rust-berlin/,"Berlin, Germany",no.  
Seattle Rust User Group,https://www.meetup.com/seattle-rust-user-group/,"Seattle, WA, USA",no.  
Rust Moscow,https://www.meetup.com/Rust-%D0%B2-%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5/,"Moscow, Russia",no.  
Rust Paris,https://www.meetup.com/Rust-Paris/,"Paris, France",no.  
Rust Nederland,https://www.meetup.com/rust-nederland/,"Amsterdam, Netherlands",no.  
Rust Munich,https://www.meetup.com/rust-munich/,"München, Germany",no.  
Vancouver Rust,https://www.meetup.com/vancouver-rust/,"Vancouver, BC, Canada",no.  
Rust Chennai,https://www.meetup.com/mad-rs/,"Chennai, India",no.  
Rust Linz,https://www.meetup.com/de-DE/rust-linz/,"Linz, Austria",no.  
Boston Rust Meetup,https://www.meetup.com/bostonrust/,"Boston, MA, USA",no.  
Rust São Paulo Meetup,https://www.meetup.com/Rust-Sao-Paulo-Meetup/,"São Paulo, Brazil",no.  
Rust Language Hyderabad,https://www.meetup.com/Rust-Hyderabad/,"Hyderabad, India",no.  
Rust Dublin,https://www.meetup.com/rust-dublin/,"Dublin, Ireland",no.  
Rust Zurich,https://www.meetup.com/rust-zurich/,"Zürich, Switzerland",no.  
Rust Melbourne,https://www.meetup.com/Rust-Melbourne/,"Melbourne, Australia",no.  
Rust Argentina,https://www.meetup.com/rust-argentina/,"Buenos Aires, Argentina",no.  
Rust TLV,https://www.meetup.com/rust-tlv/,"Tel Aviv-Yafo, Israel",no.  
Rust and C++ Cardiff,https://www.meetup.com/rust-and-c-plus-plus-in-cardiff/,"Cardiff, X5, United Kingdom",no.  
Rust MX,https://www.meetup.com/Rust-MX/,"México City, Mexico",no.  
Rust Denver,https://www.meetup.com/Rust-Boulder-Denver/,"Denver, CO, USA",no.  
Rust Delhi,https://www.meetup.com/rustdelhi/,"Delhi, India",no.  
Rust DC,https://www.meetup.com/RustDC/,"Washington, DC, USA",no.  
Rust Sydney,https://www.meetup.com/Rust-Sydney/,"Sydney, Australia",no.  
Rust Oslo,https://www.meetup.com/Rust-Oslo/,"Oslo, Norway",no.  
Dallas Rust User Meetup,https://www.meetup.com/dallasrust/,"Dallas, TX, USA",no.  
Rust Cologne,https://www.meetup.com/rustcologne/,"Köln, Germany",no.  
Stockholm Rust,https://www.meetup.com/stockholm-rust/,"Espoo, Finland",no.  
